,1.0,0.5,0.4,0.3,0.2,0.1,0.05,0.01,0.001,0.0001,1e-05,1e-06
0,6,9,1,8,6,16,12,32,12,81,88,98
1,15,18,10,17,15,25,21,53,37,136,184,198
2,22,25,17,24,22,32,28,60,65,163,273,296
3,31,34,26,33,31,41,37,69,105,176,358,394
4,40,43,35,42,40,50,46,78,144,191,440,491
5,51,54,46,53,51,61,57,89,183,203,508,589
6,58,61,53,60,58,68,64,96,238,224,578,688
7,68,71,63,70,68,78,74,106,289,237,652,788
8,77,80,72,79,77,87,83,115,321,257,726,887
9,83,86,78,85,83,93,89,121,348,275,792,983
10,90,93,85,92,90,100,96,128,381,291,849,1081
11,98,101,93,100,98,108,104,136,413,305,890,1180
12,110,113,105,112,110,120,116,148,446,323,933,1276
13,114,117,109,116,114,124,120,152,484,335,976,1375
14,124,127,119,126,124,134,130,162,523,352,1029,1463
15,135,138,130,137,135,145,141,173,555,365,1077,1558
16,142,145,137,144,142,152,148,180,589,389,1126,1651
17,158,161,153,160,158,168,164,196,612,408,1169,1747
18,166,169,161,168,166,176,172,204,644,429,1207,1836
19,173,176,168,175,173,183,179,211,676,456,1247,1931
20,182,185,177,184,182,192,188,220,709,484,1288,2023
21,189,192,184,191,189,199,195,227,741,499,1323,2116
22,196,199,191,198,196,206,202,234,772,520,1355,2210
23,207,210,202,209,207,217,213,245,791,546,1387,2299
24,217,220,212,219,217,227,223,255,817,565,1412,2393
25,226,229,221,228,226,236,232,264,849,590,1436,2489
26,236,239,231,238,236,246,242,274,876,616,1471,2584
27,251,254,246,253,251,261,257,289,909,643,1490,2679
28,259,262,254,261,259,269,265,297,936,666,1518,2755
29,269,272,264,271,269,279,275,307,961,696,1547,2836
30,279,282,274,281,279,289,285,317,991,719,1574,2914
31,285,288,280,287,285,295,291,323,1016,747,1604,2993
32,296,299,291,298,296,306,302,334,1040,775,1628,3076
33,309,312,304,311,309,319,315,347,1062,791,1647,3160
34,321,324,316,323,321,331,327,359,1071,829,1671,3239
35,327,330,322,329,327,337,333,365,1097,859,1693,3314
36,339,342,334,341,339,349,345,377,1121,891,1719,3395
37,348,351,343,350,348,358,354,386,1137,926,1741,3474
38,360,363,355,362,360,370,366,398,1161,945,1758,3544
39,368,371,363,370,368,378,374,406,1185,976,1776,3620
40,381,384,376,383,381,391,387,419,1197,1018,1795,3693
41,388,391,383,390,388,398,394,426,1219,1048,1819,3768
42,395,398,390,397,395,405,401,433,1235,1086,1838,3837
43,406,409,401,408,406,416,412,444,1251,1115,1855,3914
44,417,420,412,419,417,427,423,455,1264,1148,1869,3983
45,422,425,417,424,422,432,428,460,1274,1186,1896,4052
46,433,436,428,435,433,443,439,471,1292,1226,1912,4125
47,441,444,436,443,441,451,447,479,1304,1254,1933,4195
48,450,453,445,452,450,460,456,488,1319,1289,1956,4267
49,458,461,453,460,458,468,464,496,1330,1329,1973,4344
50,468,471,463,470,468,478,474,506,1335,1373,1981,4418
51,477,480,472,479,477,487,483,515,1340,1401,1995,4487
52,489,492,484,491,489,499,495,527,1350,1432,2009,4560
53,500,503,495,502,500,510,506,538,1363,1477,2022,4638
54,512,515,507,514,512,522,518,550,1375,1508,2027,4718
55,523,526,518,525,523,533,529,561,1386,1554,2044,4801
56,534,537,529,536,534,544,540,572,1397,1586,2060,4892
57,542,545,537,544,542,552,548,580,1405,1621,2070,4969
58,554,557,549,556,554,564,560,592,1417,1665,2080,5054
59,566,569,561,568,566,576,572,604,1429,1700,2087,5124
60,575,578,570,577,575,585,581,613,1438,1734,2099,5188
61,585,588,580,587,585,595,591,623,1448,1771,2112,5264
62,596,599,591,598,596,606,602,634,1459,1806,2120,5339
63,604,607,599,606,604,614,610,642,1467,1846,2133,5409
64,617,620,612,619,617,627,623,655,1480,1882,2143,5485
65,628,631,623,630,628,638,634,666,1491,1930,2154,5559
66,634,637,629,636,634,644,640,672,1497,1972,2164,5618
67,648,651,643,650,648,658,654,686,1511,2018,2173,5677
68,657,660,652,659,657,667,663,695,1520,2068,2189,5762
69,670,673,665,672,670,680,676,708,1533,2111,2207,5846
70,678,681,673,680,678,688,684,716,1541,2156,2224,5918
71,687,690,682,689,687,697,693,725,1550,2196,2247,5993
72,699,702,694,701,699,709,705,737,1562,2227,2260,6056
73,709,712,704,711,709,719,715,747,1572,2264,2271,6138
74,717,720,712,719,717,727,723,755,1580,2294,2290,6198
75,728,731,723,730,728,738,734,766,1591,2325,2308,6274
76,738,741,733,740,738,748,744,776,1601,2362,2328,6352
77,748,751,743,750,748,758,754,786,1611,2402,2340,6429
78,763,766,758,765,763,773,769,801,1626,2432,2351,6497
79,771,774,766,773,771,781,777,809,1634,2464,2364,6565
80,783,786,778,785,783,793,789,821,1646,2509,2379,6645
81,795,798,790,797,795,805,801,833,1658,2542,2388,6701
82,804,807,799,806,804,814,810,842,1667,2578,2395,6739
83,816,819,811,818,816,826,822,854,1679,2622,2407,6808
84,824,827,819,826,824,834,830,862,1687,2658,2418,6874
85,835,838,830,837,835,845,841,873,1698,2695,2430,6943
86,845,848,840,847,845,855,851,883,1708,2735,2452,7005
87,856,859,851,858,856,866,862,894,1719,2783,2475,7072
88,867,870,862,869,867,877,873,905,1730,2818,2505,7132
89,876,879,871,878,876,886,882,914,1739,2845,2530,7163
90,885,888,880,887,885,895,891,923,1748,2880,2552,7216
91,895,898,890,897,895,905,901,933,1758,2919,2577,7283
92,907,910,902,909,907,917,913,945,1770,2954,2595,7322
93,917,920,912,919,917,927,923,955,1780,2987,2624,7387
94,928,931,923,930,928,938,934,966,1791,3018,2643,7451
95,935,938,930,937,935,945,941,973,1798,3057,2673,7494
96,948,951,943,950,948,958,954,986,1811,3083,2700,7518
97,957,960,952,959,957,967,963,995,1820,3121,2719,7541
98,967,970,962,969,967,977,973,1005,1830,3164,2741,7572
99,978,981,973,980,978,988,984,1016,1841,3198,2767,7596
